old_url,new_path,decision,redirect_execution,old_document
https://yttop.co.kr/home/?page=4,/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-c3682dcdf382.md
https://yttop.co.kr/home/?page=5,/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-5f1696d94440.md
https://yttop.co.kr/home/?page=6,/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-cdcbe189c6dc.md
https://yttop.co.kr/home/?page=7,/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-20328e8b7a9a.md
https://yttop.co.kr/home/?page=8,/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-cabad0d69d69.md
https://yttop.co.kr/home/?page=9,/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-a8d61e9e1cd7.md
https://yttop.co.kr/21/?bmode=view&idx=167025586&t=board,/cases/case-167025586/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-78e5c3216fae.md
https://yttop.co.kr/21/?bmode=view&idx=165407958&t=board,/cases/case-165407958/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-51bf5faeee7c.md
https://yttop.co.kr/21/?bmode=view&idx=165407885&t=board,/cases/case-165407885/,map_after_target_approved,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-adacdbf37b61.md
https://yttop.co.kr/21/?page=1,/cases/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-7cb0a000afff.md
https://yttop.co.kr/21/?page=2,/cases/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-f2b875b1a84e.md
https://yttop.co.kr/21/?page=3,/cases/,merge_pagination_into_static_index,not_implemented_requires_old_host,research/2026-09-11-yttop/pages/p-cee525edb767.md
